COMID,LAKE_NAME,LON_NAD83,LAT_NAD83,VARIABLE,THRESHOLD,BLOOM_MAG,PROB_EXCEED,CI_97.5PERC,CI_2.5PERC
1966751,Pungo Lake,-76.55073324,35.71406871,microcystin,0.2,0.000595235,0.112249587,0.172030979,0.071449729
19668381,Blue Ridge Lake,-84.26864965,34.82036613,microcystin,0.2,0.000444459,0.111719411,0.17144219,0.071018137
19769209,O'Neill Forebay,-121.04888,37.08066488,microcystin,0.2,0.001214156,0.114448986,0.174470182,0.073244255
19909129,Kepler Creek Lake,-93.11035368,32.3538636,microcystin,0.2,0.000424274,0.111648601,0.171363526,0.070960523
19916060,Lake Iatt,-92.65795757,31.60340714,microcystin,0.2,0.002046185,0.117464743,0.177806628,0.075715151
19916072,Nantachie Lake,-92.80061123,31.6252558,microcystin,0.2,0.001295945,0.114742422,0.174795219,0.073484162
19917402,Sibley Lake,-93.12097644,31.75702273,microcystin,0.2,0.020605738,0.204175524,0.273317248,0.14893983
19918144,Lake Rodemacher,-92.74566,31.38605092,microcystin,0.2,0.000942485,0.11347899,0.173395075,0.072452016
19918180,Cotile Lake,-92.73712184,31.31650271,microcystin,0.2,0.006104115,0.133175012,0.195075632,0.088750721
19919458,Ester Lake,-93.99006013,31.17472532,microcystin,0.2,0.003251033,0.121953754,0.182757819,0.079413608
19925795,Lake Erling,-93.54769745,33.09497381,microcystin,0.2,0.007450189,0.138766132,0.201193111,0.093443351
19946914,Bois d'Arc Lake,-93.70274164,33.55514799,microcystin,0.2,0.029871675,0.262549943,0.3405165,0.197099722
19980072,Lake Meredith,-101.6601693,35.63880039,microcystin,0.2,0.037706006,0.319572578,0.409000906,0.24170099
20031261,Arkansas River,-103.4881351,35.35167925,microcystin,0.2,0.000678308,0.112542636,0.172356287,0.071688453
20044192,Lake Isabel,-105.1444719,35.7589017,microcystin,0.2,0.000918774,0.113394672,0.173301573,0.072383209
20052547,Conchas Lake,-104.2093915,35.38450424,microcystin,0.2,0.001625638,0.11593192,0.176111923,0.074457818
20057974,Eagle Nest Reservoir,-105.2513638,36.53297474,microcystin,0.2,0.061923422,0.525125322,0.656054042,0.390648617
20079044,El Dorado Lake,-96.80375666,37.86011325,microcystin,0.2,0.001472017,0.115376343,0.175497109,0.074002827
201345,Sal del Ray,-98.05637086,26.53719873,microcystin,0.2,0.008993503,0.145417415,0.20846287,0.099052784
20178895,Little White River Pool Reservoir,-101.5295099,43.14656601,microcystin,0.2,0.044753297,0.376003565,0.478236888,0.283740067
